"","track.id","artist.id","track.name","artist.name","track.popularity","artist.followes.total","artist.popularity","toplist.country"
"601","186NCtNk1tUYS7c2DxgJ7O","3JsHnjpbhX4SnySpvpa9DK","Christmas Tree","V",79,7780418,67,"Korea"
"602","6OZwia8loN0aPS0vTvsBjR","2z2TRvloJt4EfUNQp9rHAi","TOUT VA BIEN (feat. Ninho & Naps)","Alonzo",79,1558772,70,"France"
"603","6OZwia8loN0aPS0vTvsBjR","6Te49r3A6f5BiIgBRxH7FH","TOUT VA BIEN (feat. Ninho & Naps)","Ninho",79,6220372,79,"France"
"604","6OZwia8loN0aPS0vTvsBjR","6W5uA6CNMf3hd2j4a2XWCx","TOUT VA BIEN (feat. Ninho & Naps)","Naps",79,1904823,74,"France"
"605","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,1014154,75,"France"
"606","6Qe7YCkIOc1iaw9HKqO3qV","0GgY7hjMoGDsX8ZDe2mwds","Suavemente","Soolking",60,3230544,72,"France"
"607","4BuRrEwP1C4E8NkpUMe6mI","3IW7ScrzXmPvZhB27hmfgy","Superstar","Jul",54,5382079,79,"France"
"608","4Dvkj6JhhA12EX05fT7y2e","6KImCVD70vtIoJWnq6nGn3","As It Was","Harry Styles",91,21141704,94,"France"
"609","6KNw3UKRp3QRsO7Cf4ASVE","5gqmbbfjcikQBzPB5Hv13I","MOLLY - A COLORS SHOW","Gazo",67,439411,73,"France"
"610","7eb7JIRN6HKpedFSDGd4yI","2ptKt4yP4mYRZmvi09JYyi","Filtré","Timal",59,927783,66,"France"
"611","7eb7JIRN6HKpedFSDGd4yI","5gqmbbfjcikQBzPB5Hv13I","Filtré","Gazo",59,439411,73,"France"
"612","3BnDvpeuGOj21Ir2aVEtQo","46pWGuE3dSwY3bMMXGBvVS","Calm Down","Rema",71,749118,70,"France"
"613","3fgEIHsl6ecyAK1rpAxBIY","3IW7ScrzXmPvZhB27hmfgy","J'ai tout su","Jul",60,5382079,79,"France"
"614","6kwmp0U8M1tPvgPHqvbwsr","3vUMXQ9kPnZAQkMkZZ7Hfh","Gasolina (feat. Rsko)","Tiakola",68,212724,71,"France"
"615","6kwmp0U8M1tPvgPHqvbwsr","3L774tiJRvPmAS90pOLB44","Gasolina (feat. Rsko)","Rsko",68,42437,56,"France"
"616","6aZPMuJetqwKQCPClCNgd3","3mirzmIKVfvqcW0M5OKAzR","Clic clic pan pan","Yanns",65,117173,60,"France"
"617","2APwDsIavDeJRJFcz6s8Ow","5gqmbbfjcikQBzPB5Hv13I","CELINE 3X","Gazo",74,439411,73,"France"
"618","7lipUxEvDX7gvpVLOoqiau","1Yfe3ONJlioHys7jwHdfVm","Tee","Lomepal",61,1481925,65,"France"
"619","0MG9FlA1CLNbHQSnQQaMF2","3IW7ScrzXmPvZhB27hmfgy","Ça tourne dans ma tête","Jul",55,5382079,79,"France"
"620","5cqLFudVQryezmVFmmyRJN","7IlRNXHjoOCgEAWN5qYksg","Dégaine (feat. Damso)","Aya Nakamura",77,3410711,70,"France"
"621","5cqLFudVQryezmVFmmyRJN","2UwqpfQtNuhBwviIC0f2ie","Dégaine (feat. Damso)","Damso",77,3619566,75,"France"
"622","1cgRpYVOkYnxomkDpYLyba","1q7T9rFQ2a2ukA1PU51fo3","Doudou","Koba LaD",72,2526202,68,"France"
"623","1cgRpYVOkYnxomkDpYLyba","6W5uA6CNMf3hd2j4a2XWCx","Doudou","Naps",72,1904823,74,"France"
"624","2DB4DdfCFMw1iaR6JaR03a","4nDoRrQiYLoBzwC5BhVJzF","Bam Bam (feat. Ed Sheeran)","Camila Cabello",83,26868942,83,"France"
"625","2DB4DdfCFMw1iaR6JaR03a","6eUKZXaKkcviH0Ku9w2n3V","Bam Bam (feat. Ed Sheeran)","Ed Sheeran",83,97986998,91,"France"
"626","58HvfVOeJY7lUuCqF0m3ly","67MNhiAICFY6Pwc2YxCO0K","MIDDLE OF THE NIGHT","Elley Duhé",92,251448,75,"France"
"627","3wfQEIvOfeVkXgGZogK3gL","4TGltjqP0MQxdGeSIrM4es","Santa Maria","RIDSA",73,524174,58,"France"
"628","46vfSYsDJZaNQcD4YvT8GD","6W5uA6CNMf3hd2j4a2XWCx","Best life","Naps",72,1904823,74,"France"
"629","46vfSYsDJZaNQcD4YvT8GD","0GOx72r5AAEKRGQFn3xqXK","Best life","GIMS",72,3447151,70,"France"
"630","6HTJgY7iWWlVLSDHsfHePf","6Te49r3A6f5BiIgBRxH7FH","Jefe","Ninho",76,6220372,79,"France"
"631","3mTOTW2KnH9pJlpy5o3cJK","2z2TRvloJt4EfUNQp9rHAi","TRAFICANTE","Alonzo",61,1558772,70,"France"
"632","2toEys3zZ8rRB242Na7FZh","7rz6ZZErn5YFDteXKhyf3g","RENCONTRE","Disiz",76,236640,63,"France"
"633","2toEys3zZ8rRB242Na7FZh","2UwqpfQtNuhBwviIC0f2ie","RENCONTRE","Damso",76,3619566,75,"France"
"634","2AFT8fANFNiYV2ua5hkrS2","3IW7ScrzXmPvZhB27hmfgy","Ma drogue","Jul",60,5382079,79,"France"
"635","6lZ5p6VTbZ2ZvnsdTlLv7I","048LktY5zMnakWq7PTtFrz","Emiliana","CKay",80,789868,74,"France"
"636","6jcfITWcR5egvbD4fsGayr","7keGfmQR4X5w0two1xKZ7d","Clap Your Hands","Kungs",68,834051,70,"France"
"637","02kTjPK0S4Vy20kGsAtBXZ","3IW7ScrzXmPvZhB27hmfgy","Ténébreux","Jul",59,5382079,79,"France"
"638","5S12Ds2RswM2ITC0u1J01f","6Te49r3A6f5BiIgBRxH7FH","VVS","Ninho",75,6220372,79,"France"
"639","0sCIoT2nQw6BuqE2qRQ2Dd","3IW7ScrzXmPvZhB27hmfgy","J'éteins mon téléphone","Jul",59,5382079,79,"France"
"640","7fZBQnc0zXwVybgCIrQQil","5rGrDvrLOV2VV8SCFVGWlj","Belly Dancer","Imanbek",83,146330,75,"France"
"641","7fZBQnc0zXwVybgCIrQQil","0Upxnyh9nIUNSOmNE8WF4R","Belly Dancer","BYOR",83,12165,66,"France"
"642","6RXHipTclQenO0vKFeGZYi","3IW7ScrzXmPvZhB27hmfgy","La miss","Jul",72,5382079,79,"France"
"643","0w6lsLBvhtGcqMYA7MB7r6","4FpJcNgOvIpSBeJgRg3OfN","La Quête","Orelsan",73,1798095,69,"France"
"644","6Y46tOTRhkBamosyuWa6YX","7ltDVBr6mKbRvohxheJ9h1","LA FAMA (with The Weeknd)","ROSALÍA",76,5424549,80,"France"
"645","6Y46tOTRhkBamosyuWa6YX","1Xyo4u8uXC1ZmMpatF05PJ","LA FAMA (with The Weeknd)","The Weeknd",76,45402064,91,"France"
"646","3gAEAmxdP1GIjgQ3Zud2mE","3QVolfxko2UyCOtexhVTli","Démons","Angèle",70,2296321,69,"France"
"647","3gAEAmxdP1GIjgQ3Zud2mE","2UwqpfQtNuhBwviIC0f2ie","Démons","Damso",70,3619566,75,"France"
"648","0qPKOJg7KdbZcm6bLTduO8","3IW7ScrzXmPvZhB27hmfgy","Gigi","Jul",58,5382079,79,"France"
"649","3SaDCpnDdHiCTE2qz3YgNs","3IW7ScrzXmPvZhB27hmfgy","Sur la Costa del Sol","Jul",58,5382079,79,"France"
"650","3FkeNbs9Zeiqkr3WkbOiGp","7FNnA9vBm6EKceENgCGRMb","Envolver","Anitta",79,11718350,80,"France"
"651","6rg7j8ig8msX7THtUH7Kxa","3g9yyIlJ0sIunQWJLmIYhn","Maniac","Sound Of Legend",55,48441,59,"France"
"652","1bgL66Umw2xitBzjQnRSMx","3vUMXQ9kPnZAQkMkZZ7Hfh","Si j'savais","Tiakola",63,212724,71,"France"
"653","181AxLRTyYh9WUxEjmJt1Y","4RSyJzf7ef6Iu2rnLdabNq","Trompeta","Willy William",60,196170,68,"France"
"654","1bwhDrXcAtqePp8mNJ0pTe","6W5uA6CNMf3hd2j4a2XWCx","La kiffance","Naps",69,1904823,74,"France"
"655","717QGTmZdkemDaCo1vQHG0","19u3RGWKsjmbg9eI6zAiNp","Bande organisée","13 Organisé",61,179608,55,"France"
"656","717QGTmZdkemDaCo1vQHG0","2kXKa3aAFngGz2P4GjG5w2","Bande organisée","SCH",61,1589693,69,"France"
"657","717QGTmZdkemDaCo1vQHG0","5RaQ9nmVGoTye2SI76x3yw","Bande organisée","Kofs",61,310509,62,"France"
"658","717QGTmZdkemDaCo1vQHG0","3IW7ScrzXmPvZhB27hmfgy","Bande organisée","Jul",61,5382079,79,"France"
"659","717QGTmZdkemDaCo1vQHG0","6W5uA6CNMf3hd2j4a2XWCx","Bande organisée","Naps",61,1904823,74,"France"
"660","717QGTmZdkemDaCo1vQHG0","0oeiA5U9u1U45Gos5cywUU","Bande organisée","Soso Maness",61,420132,64,"France"
"661","717QGTmZdkemDaCo1vQHG0","2IoSLl3tqYMq9DzR0d6NJN","Bande organisée","Elams",61,207844,60,"France"
"662","717QGTmZdkemDaCo1vQHG0","7FXX45sHqoQoCwqtG0ZV8H","Bande organisée","Solda",61,2307,55,"France"
"663","717QGTmZdkemDaCo1vQHG0","6zrOXBaNn0DqJeXxgC2eyH","Bande organisée","Houari",61,10019,57,"France"
"664","1HhNoOuqm1a5MXYEgAFl8o","53XhwfbYqKCa1cC15pYq2q","Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",83,40384155,86,"France"
"665","1HhNoOuqm1a5MXYEgAFl8o","6U3ybJ9UHNKEdsH7ktGBZ7","Enemy (with JID) - from the series Arcane League of Legends","JID",83,878019,78,"France"
"666","1HhNoOuqm1a5MXYEgAFl8o","57nPqD7z62gDdq37US9XJR","Enemy (with JID) - from the series Arcane League of Legends","Arcane",83,126400,76,"France"
"667","1HhNoOuqm1a5MXYEgAFl8o","47mIJdHORyRerp4os813jD","Enemy (with JID) - from the series Arcane League of Legends","League of Legends",83,1427265,80,"France"
"668","6UlSVbJrj3wsyxjGM4KPAv","5gqmbbfjcikQBzPB5Hv13I","MAUVAIS 2X (feat. Ninho)","Gazo",72,439411,73,"France"
"669","6UlSVbJrj3wsyxjGM4KPAv","6Te49r3A6f5BiIgBRxH7FH","MAUVAIS 2X (feat. Ninho)","Ninho",72,6220372,79,"France"
"670","6e8HGI9sOV6CzAsbmxfNuN","3IW7ScrzXmPvZhB27hmfgy","Faut pas (Extraterrestre)","Jul",57,5382079,79,"France"
"671","5b8HD1dJDuPawgS5FjSC2q","3vUMXQ9kPnZAQkMkZZ7Hfh","Mode AV (feat. Niska & Gazo)","Tiakola",66,212724,71,"France"
"672","5b8HD1dJDuPawgS5FjSC2q","7CUFPNi1TU8RowpnFRSsZV","Mode AV (feat. Niska & Gazo)","Niska",66,4210085,70,"France"
"673","5b8HD1dJDuPawgS5FjSC2q","5gqmbbfjcikQBzPB5Hv13I","Mode AV (feat. Niska & Gazo)","Gazo",66,439411,73,"France"
"674","1oXn8nhl44cH6HXqGQnOgY","3vUMXQ9kPnZAQkMkZZ7Hfh","Atasanté (feat. Hamza)","Tiakola",66,212724,71,"France"
"675","1oXn8nhl44cH6HXqGQnOgY","5gs4Sm2WQUkcGeikMcVHbh","Atasanté (feat. Hamza)","Hamza",66,659548,65,"France"
"676","6hzi3AGB39FjxFqcjgbWs7","3NH8t45zOTqzlZgBvZRjvB","Deux frères","PNL",70,5163805,75,"France"
"677","4GCIYE1x1TWJCChPkpy9by","3NH8t45zOTqzlZgBvZRjvB","Onizuka","PNL",71,5163805,75,"France"
"678","4fouWK6XVHhzl78KzQ1UjL","2VSHKHBTiXWplO8lxcnUC9","abcdefu","GAYLE",91,445160,74,"France"
"679","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,1014154,75,"United Kingdom"
"680","4Dvkj6JhhA12EX05fT7y2e","6KImCVD70vtIoJWnq6nGn3","As It Was","Harry Styles",91,21141704,94,"United Kingdom"
"681","1PckUlxKqWQs3RlWXVBLw3","56oDRnqbIiwx4mymNEv7dS","About Damn Time","Lizzo",93,4672279,80,"United Kingdom"
"682","1qEmFfgcLObUfQm0j1W2CK","6KImCVD70vtIoJWnq6nGn3","Late Night Talking","Harry Styles",93,21141704,94,"United Kingdom"
"683","5LYMamLv12UPbemOaTPyeV","6KImCVD70vtIoJWnq6nGn3","Music For a Sushi Restaurant","Harry Styles",91,21141704,94,"United Kingdom"
"684","0wHFktze2PHC5jDt3B17DC","2LIk90788K0zvyj2JJVwkJ","First Class","Jack Harlow",84,2186989,87,"United Kingdom"
"685","7u3w4fQhulC1etJbdfmv3Q","7b79bQFziJFedJb75k6hFt","IFTK","Tion Wayne",76,567640,73,"United Kingdom"
"686","7u3w4fQhulC1etJbdfmv3Q","3K2zB87GZv1krx031en5VA","IFTK","La Roux",76,615559,64,"United Kingdom"
"687","6uvh0In7u1Xn4HgxOfAn8O","6KImCVD70vtIoJWnq6nGn3","Matilda","Harry Styles",91,21141704,94,"United Kingdom"
"688","02MWAaffLxlfxAUY7c5dvx","4yvcSjfu4PC0CYQyLy4wSq","Heat Waves","Glass Animals",90,2909250,80,"United Kingdom"
"689","531KGXtBroSrOX9LVmiIgc","6Ip8FS7vWT1uKkJSweANQK","Starlight","Dave",84,2232818,77,"United Kingdom"
"690","0O6u0VJ46W86TxN9wgyqDj","246dkjvS1zLTtiykXe5h60","I Like You (A Happier Song) (with Doja Cat)","Post Malone",79,37070325,88,"United Kingdom"
"691","0O6u0VJ46W86TxN9wgyqDj","5cj0lLjcoR7YOSnhnX0Po5","I Like You (A Happier Song) (with Doja Cat)","Doja Cat",79,19248569,88,"United Kingdom"
"692","59nOXPmaKlBfGMDeOVGrIK","1RyvyyTE3xzB2ZywiAwp0i","WAIT FOR U (feat. Drake & Tems)","Future",89,11616010,88,"United Kingdom"
"693","59nOXPmaKlBfGMDeOVGrIK","3TVXtAsR1Inumwj472S9r4","WAIT FOR U (feat. Drake & Tems)","Drake",89,63843309,93,"United Kingdom"
"694","59nOXPmaKlBfGMDeOVGrIK","687cZJR45JO7jhk1LHIbgq","WAIT FOR U (feat. Drake & Tems)","Tems",89,508048,75,"United Kingdom"
"695","32vE1nuG8T9c8bhmZdRY6d","246dkjvS1zLTtiykXe5h60","Cooped Up (with Roddy Ricch)","Post Malone",73,37070325,88,"United Kingdom"
"696","32vE1nuG8T9c8bhmZdRY6d","757aE44tKEUQEqRuT6GnEB","Cooped Up (with Roddy Ricch)","Roddy Ricch",73,7977807,80,"United Kingdom"
"697","40SBS57su9xLiE1WqkXOVr","0HxX6imltnNXJyQhu4nsiO","Afraid To Feel","LF SYSTEM",65,4555,50,"United Kingdom"
"698","3nhGk6VnrDHy67pXvMhdPa","1rvnJJghrxl1xakJZct08m","SPACE MAN","Sam Ryder",79,267644,63,"United Kingdom"
"699","51Zw1cKDgkad0CXv23HCMU","6KImCVD70vtIoJWnq6nGn3","Daylight","Harry Styles",90,21141704,94,"United Kingdom"
"700","2DB4DdfCFMw1iaR6JaR03a","4nDoRrQiYLoBzwC5BhVJzF","Bam Bam (feat. Ed Sheeran)","Camila Cabello",83,26868942,83,"United Kingdom"
"701","2DB4DdfCFMw1iaR6JaR03a","6eUKZXaKkcviH0Ku9w2n3V","Bam Bam (feat. Ed Sheeran)","Ed Sheeran",83,97986998,91,"United Kingdom"
"702","50nfwKoDiSYg8zOCREWAm5","6eUKZXaKkcviH0Ku9w2n3V","Shivers","Ed Sheeran",90,97986998,91,"United Kingdom"
"703","3i058E8uxTsYqJ5NWZzqSj","6KImCVD70vtIoJWnq6nGn3","Little Freak","Harry Styles",90,21141704,94,"United Kingdom"
"704","3pudQCMnsFGwOElTZmuml8","2PJEagPIxaBugeMjIyKVXF","Baby","Aitch",78,867605,70,"United Kingdom"
"705","3pudQCMnsFGwOElTZmuml8","5rkVyNGXEgeUqKkB5ccK83","Baby","Ashanti",78,2427805,71,"United Kingdom"
"706","3uUuGVFu1V7jTQL60S1r8z","7f5Zgnp2spUuuzKplmRkt7","Where Are You Now","Lost Frequencies",91,2423131,77,"United Kingdom"
"707","3uUuGVFu1V7jTQL60S1r8z","6ydoSd3N2mwgwBHtF6K7eX","Where Are You Now","Calum Scott",91,4243743,77,"United Kingdom"
"708","003vvx7Niy0yvhvHt4a68B","0C0XlULifJtAgn6ZNCW2eu","Mr. Brightside","The Killers",82,6529889,76,"United Kingdom"
"709","7kjANxR8XN4hCzLaSc2roy","6WFDpw4u23uSpon4BHvFRn","go - goddard. Remix","Cat Burns",77,81833,68,"United Kingdom"
"710","7kjANxR8XN4hCzLaSc2roy","3yDDYheQFqfhKZXdjFQuuP","go - goddard. Remix","goddard.",77,13429,60,"United Kingdom"
"711","3rmo8F54jFF8OgYsqTxm5d","6eUKZXaKkcviH0Ku9w2n3V","Bad Habits","Ed Sheeran",90,97986998,91,"United Kingdom"
"712","3sa06xVNmLLYIxdNNmVQN8","4Q6nIcaBED8qUel8bBx6Cr","Where Did You Go? (feat. MNEK)","Jax Jones",86,1028036,75,"United Kingdom"
"713","3sa06xVNmLLYIxdNNmVQN8","7uMh23xWiuR7zsNkuNcm2G","Where Did You Go? (feat. MNEK)","MNEK",86,269811,73,"United Kingdom"
"714","4j6kId9QIqhoXvqHKgSKa0","6KImCVD70vtIoJWnq6nGn3","Grapejuice","Harry Styles",89,21141704,94,"United Kingdom"
"715","7fYRg3CEbk6rNCuzNzMT06","7CajNmpbOovFoOoasH2HaY","Potion (with Dua Lipa & Young Thug)","Calvin Harris",84,22765589,83,"United Kingdom"
"716","7fYRg3CEbk6rNCuzNzMT06","6M2wZ9GZgrQXHCFfjv46we","Potion (with Dua Lipa & Young Thug)","Dua Lipa",84,34229761,88,"United Kingdom"
"717","7fYRg3CEbk6rNCuzNzMT06","50co4Is1HCEo8bhOyUWKpn","Potion (with Dua Lipa & Young Thug)","Young Thug",84,7253642,84,"United Kingdom"
"718","6A3SB2C4U6JtCavQOXLYNN","2GYIFLUsVVHPPUzOfJndRh","Je M'appelle","Benzz",82,13014,64,"United Kingdom"
"719","0rzaRSujxA0bKyjJl6vHYq","6KImCVD70vtIoJWnq6nGn3","Satellite","Harry Styles",89,21141704,94,"United Kingdom"
"720","5rF6YUIlgiat22OT1lWspJ","6zlR5ttMfMNmwf2lecU9Cc","Seventeen Going Under","Sam Fender",74,556452,68,"United Kingdom"
"721","1R0a2iXumgCiFb7HEZ7gUE","06HL4z0CvFAxyc27GXpf02","Don’t Blame Me","Taylor Swift",84,53831292,92,"United Kingdom"
"722","2NcQic8JxdjAlAHuNbOIRE","6KImCVD70vtIoJWnq6nGn3","Keep Driving","Harry Styles",88,21141704,94,"United Kingdom"
"723","35TyJIMR3xRouUuo2sjS6v","6KImCVD70vtIoJWnq6nGn3","Cinema","Harry Styles",88,21141704,94,"United Kingdom"
"724","1RF02Cf80mTaeNXG2P2boR","2gduEC76ry33RVurAvT05p","21 Reasons (feat. Ella Henderson)","Nathan Dawe",78,63784,65,"United Kingdom"
"725","1RF02Cf80mTaeNXG2P2boR","7nDsS0l5ZAzMedVRKPP8F1","21 Reasons (feat. Ella Henderson)","Ella Henderson",78,1370179,74,"United Kingdom"
"726","4hJhHbkhZFnxmWbAkZRoe0","75VKfyoBlkmrJFDqo1o2VY","Peru","Fireboy DML",73,730531,71,"United Kingdom"
"727","4hJhHbkhZFnxmWbAkZRoe0","6eUKZXaKkcviH0Ku9w2n3V","Peru","Ed Sheeran",73,97986998,91,"United Kingdom"
"728","1mw0RgNXIpYRyyCdBQbLgA","6KImCVD70vtIoJWnq6nGn3","Love Of My Life","Harry Styles",88,21141704,94,"United Kingdom"
"729","1BkY0N8ChFk2mdLbAUu8ZK","2CuzDPkRD6BJBvdWqCrt2I","Pass The Dutchie","Musical Youth",72,32601,57,"United Kingdom"
"730","3rk4aJ0vAj3cFUIQEeASkT","2ysnwxxNtSgbb9t1m2Ur4j","Green Green Grass","George Ezra",74,3665368,73,"United Kingdom"
"731","69w5X6uTrOaWM32IetSzvO","6KImCVD70vtIoJWnq6nGn3","Daydreaming","Harry Styles",88,21141704,94,"United Kingdom"
"732","6JIC3hbC28JZKZ8AlAqX8h","3PhoLpVuITZKcymswpck5b","Cold Heart - PNAU Remix","Elton John",84,9404704,82,"United Kingdom"
"733","6JIC3hbC28JZKZ8AlAqX8h","6M2wZ9GZgrQXHCFfjv46we","Cold Heart - PNAU Remix","Dua Lipa",84,34229761,88,"United Kingdom"
"734","6JIC3hbC28JZKZ8AlAqX8h","6n28c9qs9hNGriNa72b26u","Cold Heart - PNAU Remix","PNAU",84,184406,75,"United Kingdom"
"735","1WCEAGGRD066z2Q89ObXTq","1Cs0zKBU1kc0i8ypK3B9ai","Crazy What Love Can Do","David Guetta",84,24322258,85,"United Kingdom"
"736","1WCEAGGRD066z2Q89ObXTq","4EPJlUEBy49EX1wuFOvtjK","Crazy What Love Can Do","Becky Hill",84,473638,76,"United Kingdom"
"737","1WCEAGGRD066z2Q89ObXTq","7nDsS0l5ZAzMedVRKPP8F1","Crazy What Love Can Do","Ella Henderson",84,1370179,74,"United Kingdom"
"738","7l9IqDtVWJurTvkQHq1BGh","45dkTj5sMRSjrmBSBeiHym","she's all i wanna be","Tate McRae",69,2815245,80,"United Kingdom"
"739","5PjdY0CKGZdEuoNab3yDmX","2tIP7SsRs7vjIcLrU85W8J","STAY (with Justin Bieber)","The Kid LAROI",87,3740595,83,"United Kingdom"
"740","5PjdY0CKGZdEuoNab3yDmX","1uNFoZAHBGtllmzznpCI3s","STAY (with Justin Bieber)","Justin Bieber",87,61412393,91,"United Kingdom"
"741","4CUX44NA1CPEzd0ibMLQsL","1H1sDUWSlytzifZTDpKgUA","Make Me Feel Good","Belters Only",76,7510,61,"United Kingdom"
"742","4CUX44NA1CPEzd0ibMLQsL","7zAAwgV5Wqmvpb4GzvlRkP","Make Me Feel Good","Jazzy",76,635,61,"United Kingdom"
"743","7jtQIBanIiJOMS6RyCx6jZ","2txHhyCwHjUEpJjWrEyqyX","Another Love","Tom Odell",54,2203333,74,"United Kingdom"
"744","4ZtFanR9U6ndgddUvNcjcG","1McMsnEElThX1knmY4oliG","good 4 u","Olivia Rodrigo",90,17356581,85,"United Kingdom"
"745","58ge6dfP91o9oXMzq3XkIS","7Ln80lUS6He07XvHI8qqHH","505","Arctic Monkeys",81,14642739,82,"United Kingdom"
"746","06JvOZ39sK8D8SqiqfaxDU","5K4W6rqBFWDnAN6FQUkS6x","True Love","Kanye West",85,17402556,90,"United Kingdom"
"747","06JvOZ39sK8D8SqiqfaxDU","15UsOTVnJzReFVN1VCnxy4","True Love","XXXTENTACION",85,36697696,86,"United Kingdom"
"748","2iHsdUnmKGIuc9oRE3DfgJ","3GxKJzJK4LpsYGXQrw77wz","House On Fire","Mimi Webb",76,224834,66,"United Kingdom"
"749","1NvpO1o8SpkdH3txtJQQc7","246dkjvS1zLTtiykXe5h60","Lemon Tree","Post Malone",74,37070325,88,"United Kingdom"
